year,company,tokens_final
2010,Target,"['link', 'review', 'document', 'table', 'content', 'state', 'security', 'exchange', 'commission', 'washington', 'schedule', 'statement', 'section', 'security', 'exchange', 'amendment', 'file', 'registrant', 'file', 'party', 'registrant', 'check', 'statement', 'confidential', 'commission', 'permit', 'statement', 'material', 'material', 'corporation', 'name', 'registrant', 'specify', 'charter', 'name', 'person', 'statement', 'payment', 'check', 'require', 'compute', 'exchange', 'rule', 'class', 'security', 'transaction', 'apply', 'number', 'security', 'transaction', 'apply', 'unit', 'price', 'value', 'transaction', 'compute', 'exchange', 'rule', 'forth', 'amount', 'calculate', 'state', 'determine', 'propose', 'value', 'transaction', 'material', 'check', 'part', 'offset', 'provide', 'exchange', 'rule', 'registration', 'statement', 'number', 'form', 'schedule', 'date', 'filing', 'amount', 'form', 'schedule', 'registration', 'statement', 'filing', 'party']"
2010,Target,"['nicollet', 'mall', 'minneapolis', 'minnesota', 'statement', 'june']"
2010,Target,"['invite', 'corporation', 'hold', 'mountain', 'time', 'june', 'hotel', 'conference', 'center', 'locate', 'drive', 'englewood', 'colorado', 'detail', 'admission', 'business', 'conduct', 'describe', 'statement', 'year', 'ratify', 'appointment', 'ernst', 'register', 'accounting', 'firm', 'approve', 'amendment', 'restate', 'article', 'incorporation', 'amendment', 'provide', 'election', 'proposal', 'statement', 'present', 'hope', 'represent', 'urge', 'statement', 'recommendation', 'telephone', 'internet', 'enclose', 'card', 'envelope', 'provide', 'attend', 'thank', 'support', 'gregg', 'chairman', 'officer', 'president']"
2010,Target,"['method', 'statement', 'describes', 'issue', 'corporation', 'internet', 'site', 'identify', 'card', 'notice', 'internet', 'availability', 'material', 'hour', 'week', 'deadline', 'forth', 'enter', 'control', 'number', 'appear', 'card', 'notice', 'internet', 'availability', 'material', 'instruction', 'telephone', 'touch-tone', 'telephone', 'call', 'number', 'identify', 'card', 'hour', 'week', 'deadline', 'forth', 'enter', 'control', 'number', 'appear', 'card', 'follow', 'simple', 'record', 'instruction', 'mail', 'mark', 'selection', 'enclose', 'card', 'date', 'sign', 'name', 'appear', 'card', 'mail', 'card', 'enclose', 'envelope', 'order', 'internet', 'telephone', 'follow', 'instruction', 'deadline', 'record', 'p.m.', 'time', 'june', 'bank', 'broker', 'p.m.', 'time', 'june', 'a.m.', 'time', 'june', 'thank', 'admission', 'policy', 'record', 'date', 'appoint', 'attend', 'reserve', 'admission', 'ticket', 'order', 'attend', 'record', 'attend', 'please', 'investor', 'relation', 'department', 'email', 'investorrelations', 'target.com', 'telephone', 'reserve', 'ticket', 'ticket', 'bank', 'broker', 'attend', 'send', 'write', 'request', 'ticket', 'mail', 'email', 'proof', 'ownership', 'bank', 'brokerage', 'firm', 'account', 'statement', 'letter', 'broker', 'trustee', 'bank', 'ownership', 'investor', 'relation', 'corporation', 'nicollet', 'mall', 'minneapolis', 'investorrelations', 'target.com', 'request', 'reserve', 'ticket', 'process', 'order', 'receive', 'receive', 'june']"
2010,Target,"['notice', 'availability', 'material', 'notice', 'availability', 'material', 'hold', 'june', 'statement', 'report', 'www.proxyvote.com']"
2010,Target,"['notice', 'time', 'p.m.', 'mountain', 'daylight', 'time', 'wednesday', 'place', 'hotel', 'conference', 'center', 'drive', 'englewood', 'colorado', 'format', 'include', 'prepare', 'remark', 'chairman', 'president', 'follow', 'question', 'answer', 'session', 'executive', 'item', 'business', 'elect', 'class', 'year', 'term', 'item', 'approve', 'term', 'item', 'approve', 'ratify', 'appointment', 'ernst', 'register', 'accounting', 'firm', 'consider', 'management', 'proposal', 'amend', 'restate', 'article', 'incorporation', 'election', 'consider', 'management', 'proposal', 'amend', 'restate', 'article', 'incorporation', 'eliminate', 'supermajority', 'requirement', 'business', 'combination', 'consider', 'management', 'proposal', 'amend', 'restate', 'restate', 'article', 'incorporation', 'reflect', 'change', 'propose', 'item', 'approve', 'cross-reference', 'reference', 'change', 'minnesota', 'business', 'corporation', 'proposal', 'statement', 'present', 'record', 'date', 'record', 'close', 'business', 'april', 'report', 'report', 'part', 'material', 'www.proxyvote.com', 'represent', 'visit', 'site', 'show', 'method', 'card', 'notice', 'internet', 'availability', 'material', 'hand', 'internet', 'telephone', 'number', 'show', 'method', 'card', 'hand', 'mark', 'sign', 'date', 'return', 'card', 'postage-paid', 'envelope', 'receive', 'internet', 'availability', 'material', 'like', 'telephone', 'mail', 'follow', 'instruction', 'request', 'card', 'revoke', 'time', 'exercise', 'secretary', 'approximate', 'date', 'material', 'internet', 'availability', 'april']"
2010,Target,"['table', 'content', 'information', 'voting', 'item', 'one—election', 'information', 'compensation', 'relationship', 'ownership', 'executive', 'compensation', 'section', 'ownership', 'compliance', 'item', 'two—ratification', 'appointment', 'register', 'accounting', 'firm', 'item', 'five—approval', 'amendment', 'restate', 'article', 'incorporation', 'item', 'provide', 'election', 'item', 'eliminate', 'supermajority', 'requirement', 'business', 'combination', 'item', 'conform', 'update', 'provision', 'restate', 'article', 'incorporation', 'item', 'six—shareholder', 'proposal', 'executive', 'compensation', 'information', 'information']"
2010,Target,"['statement', 'june', 'corporation', 'solicits', 'enclose', 'hold', 'hotel', 'conference', 'center', 'drive', 'englewood', 'colorado', 'wednesday', 'p.m.', 'mountain', 'time', 'adjournment', 'information', 'voting', 'purpose', 'matter', 'describe', 'addition', 'management', 'report', 'performance', 'respond', 'question', 'class', 'voting', 'record', 'close', 'business', 'record', 'date', 'april', 'entitle', 'matter', 'attend', 'record', 'date', 'appoint', 'attend', 'attend', 'please', 'admission', 'policy', 'statement', 'constitute', 'quorum', 'presence', 'person', 'holder', 'majority', 'record', 'date', 'constitute', 'quorum', 'conduct', 'business', 'record', 'date', 'receive', 'abstention', 'broker', 'non-votes', 'include', 'calculation', 'number', 'consider', 'purpose', 'enclose', 'card', 'envelope', 'provide', 'street', 'name', 'attend', 'deliver', 'complete', 'card', 'person', 'addition', 'telephone', 'internet', 'instruction', 'card', 'notice', 'internet', 'availability', 'material', 'street', 'name', 'follow', 'instruction', 'form', 'receive', 'institution', 'hold', 'exception', 'describe', 'policy', 'treat', 'ballot', 'tabulation', 'request', 'confidentiality', 'card', 'request', 'examination', 'disclose', 'tabulation', 'meet']"
2010,Target,"['requirement', 'election', 'inspector', 'count', 'result', 'solicitation', 'opposition', 'base', 'opposition', 'statement', 'file', 'security', 'exchange', 'commission', 'election', 'inspector', 'time', 'inform', 'change', 'submit', 'change', 'time', 'card', 'voting', 'telephone', 'internet', 'deadline—see', 'instruction', 'method', 'register', 'change', 'person', 'write', 'revocation', 'attendance', 'revoke', 'grant', 'recommend', 'recommend', 'election', 'nominee', 'page', 'ratification', 'appointment', 'ernst', 'register', 'accounting', 'firm', 'page', 'approval', 'amendment', 'restate', 'article', 'incorporation', 'election', 'page', 'approval', 'amendment', 'restate', 'article', 'incorporation', 'eliminate', 'supermajority', 'voting', 'requirement', 'business', 'combination', 'page', 'approval', 'amendment', 'restatement', 'restate', 'article', 'incorporation', 'reflect', 'change', 'propose', 'item', 'approve', 'cross-reference', 'reference', 'page', 'proposal', 'statement', 'page', 'instruction', 'card', 'person', 'name', 'holder', 'card', 'accordance', 'recommendation', 'recommendation', 'description', 'item', 'statement', 'matter', 'come', 'holder', 'recommend', 'recommendation', 'give', 'discretion', 'require', 'item', 'election', 'nominee', 'receive', 'election', 'elect', 'execute', 'mark', 'election', 'nominee', 'count', 'purpose', 'quorum', 'consider', 'nominee', 'receives', 'number', 'nominee', 'remain', 'resign', 'governance', 'guideline', 'require', 'receive', 'number', 'offer', 'resignation', 'nominating', 'governance', 'make', 'recommendation', 'offer', 'accept', 'reject', 'offer', 'disclose', 'decision', 'rationale', 'amendment', 'restate', 'article', 'incorporation', 'restate', 'article', 'incorporation', 'provide', 'amendment', 'article', 'require', 'holder', 'amendment', 'propose']"
2010,Target,"['item', 'modify', 'article', 'approval', 'item', 'require', 'item', 'matter', 'describe', 'statement', 'item', 'proposal', 'amend', 'restate', 'restate', 'article', 'incorporation', 'item', 'come', 'majority', 'person', 'entitle', 'item', 'majority', 'number', 'entitle', 'constitute', 'transaction', 'business', 'require', 'approval', 'provide', 'person', 'execute', 'mark', 'matter', 'count', 'purpose', 'quorum', 'consider', 'person', 'entitle', 'effect', 'broker', 'non-vote', 'street', 'instruction', 'broker', 'proposal', 'broker', 'exercise', 'authority', 'situation', 'broker', 'occur', 'broker', 'non-votes', 'count', 'person', 'purpose', 'matter', 'count', 'approve', 'item', 'item', 'come', 'respect', 'item', 'non-votes', 'effect', 'broker', 'non-votes', 'count', 'purpose', 'matter', 'present', 'determination', 'date', 'statement', 'know', 'matter', 'present', 'determination', 'refer', 'statement', 'matter', 'come', 'enclose', 'form', 'return', 'telephone', 'internet', 'accordance', 'recommendation', 'absence', 'recommendation', 'accordance', 'judgment', 'holder', 'expense', 'incur', 'connection', 'solicitation', 'expense', 'connection', 'solicitation', 'solicit', 'telephone', 'internet', 'addition', 'sending', 'material', 'officer', 'management', 'employee', 'contact', 'telephone', 'mail', 'email', 'person', 'solicit', 'mean', 'news', 'release', 'issue', 'posting', 'site', 'print', 'advertisement', 'none', 'officer', 'employee', 'receive', 'compensation', 'retain', 'communication', 'inc.', 'solicitor', 'estimate', 'out-of-pocket', 'expense', 'statement', 'voting', 'instruction', 'participant', 'hold', 'trustee', 'benefit', 'participant', 'participant', 'record', 'holder', 'material', 'hold', 'record', 'holder', 'participant', 'instruct', 'method', 'describe', 'form', 'connection', 'hold', 'voting']"
