year,company,tokens_final
2010,Amazon,"['notice', 'hold', 'amazon.com', 'hold', 'time', 'tuesday', 'seattle', 'museum', 'plestcheeff', 'auditorium', 'avenue', 'washington', 'purpose', 'elect', 'name', 'statement', 'serve', 'respective', 'successor', 'elect', 'ratify', 'appointment', 'ernst', 'company', 'auditor', 'year', 'december', 'consider', 'proposal', 'company', 'make', 'disclosure', 'contribution', 'present', 'transact', 'business', 'come', 'postponement', 'recommend', 'election', 'nominee', 'ratification', 'appointment', 'ernst', 'auditor', 'proposal', 'march', 'record', 'date', 'entitle', 'postponement', 'thereof', 'record', 'close', 'business', 'date', 'entitle', 'order', 'wilson', 'secretary', 'seattle', 'washington', 'april']"
2010,Amazon,"['statement', 'hold', 'tuesday', 'general', 'solicit', 'amazon.com', 'company', 'company', 'hold', 'time', 'tuesday', 'seattle', 'museum', 'plestcheeff', 'auditorium', 'avenue', 'washington', 'adjournment', 'postponement', 'company', 'office', 'locate', 'terry', 'statement', 'make', 'internet', 'company', 'security', 'quorum', 'holder', 'record', 'company', 'value', 'business', 'march', 'record', 'date', 'entitle', 'date', 'company', 'entitle', 'majority', 'person', 'represent', 'constitutes', 'transaction', 'business', 'abstention', 'broker', 'nonvotes', 'include', 'presence', 'availability', 'material', 'material', 'internet', 'copy', 'material', 'april', 'mail', 'request', 'paper', 'delivery', 'material', 'availability', 'material', 'access', 'material', 'statement', 'report', 'view', 'instruction', 'telephone', 'prefer', 'paper', 'copy', 'material', 'please', 'instruction', 'include', 'internet', 'availability', 'material', 'elect', 'material', 'continue', 'access', 'material', 'voting', 'internet', 'telephone', 'card', 'execute', 'return', 'accordance', 'direction', 'give', 'absence', 'direction', 'election', 'nominee', 'name', 'herein', 'ratification', 'appointment', 'company', 'auditor', 'proposal', 'expect', 'matter', 'bring', 'matter', 'present', 'person', 'name', 'card', 'discretion', 'matter', 'manner', 'depends', 'hold', 'record', 'represent', 'certificate', 'book', 'entry', 'name', 'record', 'mellon', 'shareowner', 'service', 'company', 'transfer', 'agent']"
2010,Amazon,"['meaning', 'individual', 'name', 'provide', 'authorization', 'internet', 'telephone', 'request', 'paper', 'copy', 'material', 'card', 'circumstance', 'person', 'street', 'hold', 'bank', 'brokerage', 'firm', 'nominee', 'instruct', 'institution', 'provide', 'instruction', 'internet', 'telephone', 'request', 'paper', 'copy', 'material', 'bank', 'brokerage', 'firm', 'nominee', 'instruction', 'form', 'receive', 'institution', 'circumstance', 'provide', 'instruction', 'institution', 'nevertheless', 'behalf', 'ratification', 'appointment', 'ernst', 'company', 'auditor', 'year', 'december', 'matter', 'consider', 'internet', 'telephone', 'help', 'save', 'company', 'money', 'postage', 'tabulation', 'cost', 'telephone', 'hold', 'record', 'hold', 'record', 'http', 'http', 'hold', 'street', 'name', 'hold', 'street', 'name', 'instruction', 'form', 'http', 'hour', 'week', 'hour', 'week', 'instruction', 'instruction', 'statement', 'read', 'statement', 'list', 'record', 'holder', 'call', 'number', 'street', 'name', 'holder', 'call', 'have', 'notice', 'availability', 'telephone', 'number', 'instruction', 'material', 'card', 'voting', 'form', 'instruction', 'form', 'hand', 'follow', 'instruction', 'have', 'notice', 'availability', 'material', 'card', 'voting', 'instruction', 'form', 'hand', 'instruction', 'encourage', 'future', 'communication', 'print', 'mean', 'access', 'report', 'statement', 'correspondence', 'deliver', 'attendance', 'record', 'attend', 'person', 'card', 'internet', 'telephone', 'street', 'name', 'attend', 'order', 'obtain', 'bank', 'brokerage', 'firm', 'nominee', 'hold', 'contact', 'bank', 'brokerage', 'account', 'learn', 'obtain', 'encourage', 'advance', 'method', 'describe', 'nevertheless', 'change', 'revoke', 'describe', 'find', 'direction', 'www.amazon.com/ir']"
2010,Amazon,"['revocation', 'record', 'revoke', 'time', 'secretary', 'company', 'write', 'revocation', 'execute', 'bearing', 'date', 'person', 'owning', 'street', 'name', 'change', 'revoke', 'instruction', 'bank', 'brokerage', 'firm', 'nominee', 'institution', 'person', '—election', 'accordance', 'company', 'bylaws', 'number', 'governance', 'propose', 'nominee', 'elect', 'office', 'successor', 'elect', 'jeffrey', 'bezos', 'alain', 'monié', 'thomas', 'ryder', 'john', 'patricia', 'stonesifer', 'william', 'gordon', 'nominee', 'company', 'elect', 'office', 'successor', 'elect', 'qualify', 'march', 'john', 'doerr', 'inform', 'company', 'stand', 're-election', 'company', 'relate', 'information', 'nominee', 'execute', 'election', 'nominee', 'indicate', 'cast', 'nominee', 'indicate', 'respect', 'nominees', 'elect', 'cast', 'election', 'exceed', 'cast', 'election', 'receive', 'require', 're-election', 'consider', 'accept', 'reject', 'resignation', 'tender', 'pursuant', 'guideline', 'governance', 'issue', 'abstention', 'broker', 'nonvotes', 'effect', 'election', 'broker', 'nonvotes', 'person', 'street', 'brokerage', 'firm', 'provide', 'instruction', 'broker', 'behalf', 'expect', 'nominee', 'serve', 'serve', 'decrease', 'size', 'designate', 'substitute', 'nominee', 'favor', 'substitute', 'nominees', 'recommend', 'nominee', 'information', 'nominee', 'governance', 'take', 'account', 'quality', 'seek', 'discuss', 'governance', 'qualification']"
2010,Amazon,"['skill', 'background', 'oversight', 'company', 'qualification', 'skill', 'include', 'biography', 'jeffrey', 'bezos', 'chairman', 'company', 'executive', 'officer', 'serve', 'president', 'company', 'bezos', 'qualification', 'skill', 'include', 'point', 'view', 'willingness', 'encourage', 'invention', 'contribution', 'company', 'founder', 'company', 'june', 'venture', 'group', 'venture', 'capital', 'firm', 'september', 'investment', 'group', 'investment', 'firm', 'company', 'advance', 'information', 'corporation', 'alberg', 'qualification', 'skill', 'include', 'experience', 'venture', 'capitalist', 'technology', 'company', 'experience', 'technology', 'skill', 'statement', 'accounting', 'matter', 'john', 'company', 'june', 'brown', 'serve', 'scholar', 'advisor', 'provost', 'university', 'california', 'deloitte', 'center', 'edge', 'scientist', 'corporation', 'april', 'palo', 'alto', 'research', 'center', 'parc', 'june', 'serve', 'corning', 'incorporate', 'system', 'inc.', 'polycom', 'brown', 'qualification', 'skill', 'include', 'experience', 'position', 'university', 'technology', 'research', 'facility', 'experience', 'technology', 'customer', 'experience', 'skill', 'william', 'gordon', 'company', 'april', 'partner', 'kleiner', 'perkins', 'caufield', 'byers', 'venture', 'capital', 'firm', 'june', 'inc.', 'serve', 'vice', 'president', 'officer', 'march', 'gordon', 'qualification', 'skill', 'include', 'experience', 'executive', 'co-founder', 'software', 'company', 'experience', 'technology', 'customer', 'experience', 'skill', 'skill', 'statement', 'accounting', 'matter', 'alain', 'company', 'president', 'chief', 'officer', 'ingram', 'inc.', 'august', 'serve', 'vice', 'president', 'president', 'micro', 'august', 'join', 'micro', 'executive', 'vice', 'president', 'jones', 'lang', 'incorporate', 'october', 'qualification', 'skill', 'include', 'experience', 'executive', 'technology', 'distributor', 'experience', 'operation', 'customer', 'experience', 'skill', 'skill', 'statement', 'accounting', 'matter', 'thomas', 'ryder', 'company', 'chairman', 'reader', 'association', 'inc.', 'april', 'executive', 'officer', 'april', 'december', 'starwood', 'hotel', 'resort', 'inc.', 'april', 'chairman', 'virgin', 'ryder', 'qualification', 'skill', 'include', 'experience', 'executive', 'medium', 'company', 'experience', 'property', 'customer', 'experience', 'skill', 'skill', 'statement', 'accounting', 'matter', 'patricia', 'stonesifer', 'company', 'stonesifer', 'serve', 'regent', 'institution', 'january', 'september', 'serve', 'advisor', 'bill', 'gate', 'foundation']"
2010,Amazon,"['executive', 'officer', 'president', 'co-chair', 'june', 'september', 'serve', 'philanthropy', 'advisor', 'viacom', 'inc.', 'work', 'role', 'corporation', 'vice', 'president', 'medium', 'division', 'stonesifer', 'qualification', 'skill', 'include', 'experience', 'executive', 'organization', 'experience', 'technology', 'customer', 'experience', 'skill', 'skills', 'policy', 'statement', 'accounting', 'matter', 'governance', 'leadership', 'control', 'direction', 'company', 'represent', 'company', 'primary', 'value', 'chair', 'select', 'company', 'jeff', 'bezos', 'believe', 'leadership', 'structure', 'company', 'give', 'role', 'company', 'ownership', 'stake', 'believe', 'leadership', 'structure', 'improve', 'ability', 'focus', 'policy', 'issue', 'help', 'company', 'operate', 'interest', 'addition', 'appoint', 'ryder', 'presides', 'session', 'chair', 'chair', 'absence', 'provide', 'direction', 'agenda', 'schedule', 'material', 'independence', 'determine', 'define', 'rule', 'stonesifer', 'addition', 'determine', 'potter', 'term', 'conclude', 'take', 'account', 'transaction', 'relationship', 'arrangement', 'conclude', 'transaction', 'relationship', 'arrangement', 'independence', 'consider', 'company', 'course', 'business', 'purchase', 'product', 'inc.', 'officer', 'payment', 'company', 'ingram', 'micro', 'messrs.', 'alberg', 'doerr', 'consider', 'executive', 'officer', 'past', 'future', 'invest', 'investment', 'fund', 'manage', 'entity', 'gordon', 'partner', 'addition', 'executive', 'officer', 'past', 'future', 'company', 'investment', 'fund', 'manage', 'entity', 'invest', 'consider', 'son-in-law', 'employ', 'company', 'disclose', 'relationship', 'relate', 'person', 'transactions.', 'risk', 'oversight', 'part', 'regular', 'oversee', 'executive', 'management', 'risk', 'company', 'responsibility', 'risk', 'delegate', 'responsibility', 'relate', 'risk', 'audit', 'leadership', 'development', 'compensation', 'audit', 'management', 'risk', 'relate', 'company', 'statement', 'process', 'qualification', 'independence', 'performance', 'company', 'auditor', 'performance', 'company', 'audit', 'function', 'company', 'compliance', 'requirement', 'leadership', 'development', 'compensation', 'management', 'risk', 'relate', 'compensation', 'company', 'executive', 'officer', 'company', 'compensation', 'review', 'report', 'management', 'aspect', 'company', 'business', 'risk', 'tactic', 'strategy']"
2010,Amazon,"['please', 'visit', 'company', 'investor', 'relation', 'website', 'governance', 'information', 'company', 'governance', 'company', 'certificate', 'incorporation', 'bylaws', 'guideline', 'governance', 'issue', 'include', 'policy', 'communication', 'attendance', 'company', 'resignation', 'facilitate', 'majority', 'voting', 'charter', 'approve', 'audit', 'leadership', 'development', 'compensation', 'governance', 'code', 'business', 'conduct', 'ethic', 'committees', 'meet', 'year', 'hold', 'write', 'consent', 'circumstance', 'require', 'attend', 'committees', 'member', 'attend', 'company', 'establish', 'audit', 'leadership', 'development', 'compensation', 'governance', 'keep', 'inform', 'action', 'provide', 'responsibility', 'table', 'provide', 'membership', 'information', 'information', 'year', 'leadership', 'development', 'audit', 'compensation', 'governance', 'name', 'bezos', 'john', 'john', 'doerr', 'william', 'gordon', 'alain', 'monié', 'thomas', 'ryder', 'patricia', 'stonesifer', 'chair', 'chair', 'governance', 'doerr', 'gordon', 'stonesifer', 'expect', 'join', 'governance', 'function', 'perform', 'detail', 'charter', 'summarize', 'determine', 'satisfy', 'standard', 'independence', 'audit', 'audit', 'represent', 'assist', 'responsibility', 'company', 'statement', 'process', 'qualification']"
2010,Amazon,"['independence', 'performance', 'company', 'auditor', 'performance', 'company', 'audit', 'function', 'company', 'compliance', 'requirement', 'designate', 'audit', 'expert', 'define', 'security', 'exchange', 'commission', 'rule', 'leadership', 'development', 'compensation', 'leadership', 'development', 'compensation', 'evaluate', 'company', 'program', 'practice', 'leadership', 'development', 'review', 'establishes', 'compensation', 'company', 'executive', 'officer', 'administers', 'company', 'compensation', 'view', 'value', 'engage', 'compensation', 'consultant', 'information', 'process', 'procedure', 'compensation', 'contain', 'compensation', 'discussion', 'analysis', 'section', 'statement', 'governance', 'governance', 'review', 'composition', 'assist', 'candidate', 'recommend', 'candidate', 'election', 'provide', 'leadership', 'role', 'governance', 'company', 'governance', 'recommend', 'compensation', 'elect', 'review', 'compensation', 'nomination', 'governance', 'considers', 'candidate', 'recommend', 'member', 'member', 'management', 'identify', 'party', 'search', 'firm', 'retain', 'company', 'assist', 'candidate', 'governance', 'considers', 'aspect', 'candidate', 'qualification', 'context', 'need', 'company', 'point', 'time', 'state', 'guideline', 'governance', 'issue', 'seek', 'candidate', 'diversity', 'experience', 'perspective', 'candidate', 'member', 'governance', 'evaluate', 'ability', 'contribute', 'diversity', 'assess', 'part', 'evaluation', 'process', 'qualification', 'quality', 'skill', 'candidate', 'consider', 'governance', 'commitment', 'interest', 'inquisitive', 'perspective', 'willingness', 'take', 'risk', 'leadership', 'ability', 'professional', 'ethic', 'integrity', 'value', 'wisdom', 'judgment', 'business', 'experience', 'field', 'operation', 'technology', 'finance', 'marketing', 're-nomination', 'consider', 'nominee', 'effectiveness', 'exception', 'bezos', 'employ', 'company', 'independence', 'believe', 'nominee', 'posse', 'attribute', 'governance', 'evaluate', 'candidate', 'recommend', 'evaluate', 'candidate', 'recommend', 'member', 'member', 'persons', 'submit', 'recommendation', 'candidate', 'governance', 'provide', 'information', 'attention', 'secretary', 'company', 'certify', 'mail', 'name', 'address', 'biography', 'candidate', 'indication', 'candidate', 'express', 'willingness', 'serve', 'name', 'address', 'phone', 'number', 'group', 'recommendation', 'number', 'group', 'recommendation', 'length', 'time', 'hold', 'register', 'holder', 'security', 'proof', 'ownership']"
2010,Amazon,"['consider', 'candidate', 'recommendation', 'receive', 'secretary', 'compensation', 'company', 'receive', 'cash', 'compensation', 'service', 'member', 'reimburse', 'expense', 'incur', 'discretion', 'award', 'company', 'incentive', 'base', 'governance', 'recommendation', 'approve', 'restrict', 'unit', 'john', 'service', 'restrict', 'unit', 'finish', 'award', 'vest', 'installment', 'date', 'year', 'vesting', 'date', 'brown', 'restrict', 'unit', 'award', 'amount', 'schedule', 'restrict', 'unit', 'award', 'governance', 'vary', 'award', 'base', 'service', 'year', 'compensation', 'determine', 'rule', 'compensation', 'awards/', 'name', 'compensation', 'jeffrey', 'bezos', 'john', 'john', 'doerr', 'william', 'gordon', 'alain', 'monié', 'potter', 'thomas', 'ryder', 'patricia', 'stonesifer', 'award', 'report', 'date', 'value', 'determine', 'accounting', 'standard', 'date', 'value', 'determine', 'base', 'number', 'grant', 'trading', 'price', 'amazon.com', 'grant', 'date', 'regard', 'fact', 'grant', 'number', 'year', 'description', 'business', 'compensation', 'item', 'statement', 'data', 'company', 'report', 'form', 'receive', 'compensation', 'service', 'addition', 'compensation', 'officer', 'messrs.', 'alberg', 'doerr', 'ryder', 'stonesifer', 'hold', 'unit', 'december', 'brown', 'hold', 'unit', 'december', 'hold', 'unit', 'december', 'potter', 'term', 'conclude', 'potter', 'hold', 'unit', 'december', '—ratification', 'appointment', 'ernst', 'rule', 'regulation', 'audit', 'appointment', 'company', 'auditor', 'audit', 'appoint']"
2010,Amazon,"['governance', 'ratification', 'appointment', 'register', 'accounting', 'firm', 'ernst', 'serve', 'auditor', 'year', 'december', 'majority', 'person', 'represent', 'entitle', 'matter', 'require', 'selection', 'broker', 'nonvotes', 'effect', 'outcome', 'matter', 'abstention', 'count', 'purpose', 'matter', 'effect', 'ratification', 'appointment', 'ratify', 'selection', 'audit', 'selection', 'register', 'accounting', 'firm', 'audit', 'engagement', 'year', 'addition', 'ratify', 'selection', 'auditor', 'audit', 'nevertheless', 'proposal', 'register', 'accounting', 'firm', 'result', 'process', 'select', 'register', 'accounting', 'firm', 'company', 'auditor', 'recommend', 'ratification', 'appointment', 'company', 'auditor', 'year', 'auditor', 'representative', 'expect', 'opportunity', 'make', 'statement', 'respond', 'question', 'audit', 'audit', 'include', 'bill', 'company', 'statement', 'control', 'review', 'consolidate', 'statement', 'include', 'company', 'form', 'include', 'audit', 'work', 'perform', 'company', 'subsidiaries', 'audit', 'bill', 'company', 'year', 'aggregate', 'audit', 'bill', 'company', 'year', 'include', 'service', 'treatment', 'transaction', 'event', 'acquisition', 'adoption', 'accounting', 'standard', 'well', 'procedure', 'relate', 'accounting', 'record', 'perform', 'reporting', 'requirement', 'bill', 'company', 'year', 'bill', 'company', 'year', 'reconciliation', 'service', 'entity', 'bill', 'company', 'year', 'bill', 'company', 'year', 'bill', 'company', 'year', 'year', 'december']"
